ID,Mother,Father
1001,1,10
1002,1,4
1003,1,4
1004,1,4
1005,3,22
1006,3,22
1007,7,9
1008,7,10
1009,7,10
1010,11,9
1011,11,10
1012,11,4
1013,11,10
1014,11,4
1015,13,19
1016,13,19
1017,13,22
1018,13,22
1019,13,22
1020,16,10
1021,16,10
1022,16,116
1023,16,116
1024,16,4
1025,16,4
1026,17,2
1027,17,2
1028,20,19
1029,20,19
1030,20,22
1031,20,22
1032,23,2
1033,23,2
1034,25,19
1035,25,19
1036,25,19
1037,25,22
1038,31,33
1039,31,33
1040,34,10
1041,34,10
1042,41,116
1043,41,116
1044,46,4
1045,46,89
1046,51,53
1047,51,53
1048,54,33
1049,56,53
1050,56,53
1051,56,53
1052,60,53
1053,60,53
1054,60,53
1055,63,62
1056,63,62
1057,63,62
1058,66,62
1059,66,62
1060,69,62
1061,69,62
1062,72,62
1063,75,116
1064,84,59
1065,103,62
1066,103,62
1067,185,116
1068,185,4
