FatherId,MotherId,Children
29,28,1;4;143;142;14;17;16;19;21;23;144;145;146;147;148
1,2,343;350;349;348;347;346;345;344
493,27,495;2;494;496;497;498
58,31,254;255;252;256;253;3;251;5
4,3,
6,5,567;566;565
52,32,408;54;6
8,7,
245,59,250;248;249;8;246;247
35,378,381;25;380;9;78;379
10,9,577
228,37,232;231;230;229;11
11,12,305;304;307;306;309;308;302;303
136,33,137;69;139;138;140;7;12;15
129,34,36;37;59;131;130;63;133;13;132;31
13,14,239;238;237;236;235;234;233;240
16,15,288;289;290;291;292;293;287;286
17,18,327;64;332;333;330;331;61;328;329
20,19,342;341;340;339;338;337
39,149,20;150;151
22,21,441;442;443;444;445;446
40,161,169;168;22;163;162;167;166;165;164
23,24,326;324;325;322;323;320;67;321;319
26,25,631;630;629;628
382,41,383;26;384
42,189,190;191;27;193;192;194
87,86,29
29,30,141;72
43,44,34;33;38;39;110;30;45
152,45,35
43,46,112;111;40
47,46,113;42;74
48,49,93;92;43;79;94
50,51,46;44
63,75,258;259;257;260;62;60
64,60,603;602
61,62,601
63,76,262;263;261;266;77;264;265
153,38,154;32;155;18;156;157;65;158;159;24;41;160
65,66,424;419;421;420;423;422
269,36,275;274;273;272;66;276;10;270;271
67,68,580;741
69,277,68;279;278;283;282;281;280;285;284
72,313,70;315;314;317;316;318
70,71,704;588
487,73,492;71;489;488;491;490
74,187,188;73
78,77,
115,79,118;117;116;81;80
81,82,
91,90,82
83,82,84;212;213;214;215
84,85,
196,80,85;201;200;203;202;197;199;198
92,95,102;103;100;101;98;99;96;97;104
93,105,106;107
108,105,
109,105,
94,114,
96,119,
120,98,
121,100,
122,101,
123,102,
104,124,
107,125,127;126;128
134,110,135
170,111,171;175;174;173;172;178;179;176;177;182;180;181
183,112,186;184;185
113,195,
204,116,205;207;206;208
209,117,210;211
118,216,
217,128,
218,130,220;221;222;223;219;227;226;225;224
132,241,244;242;243
267,133,268
294,139,295;296;297;298;299;300;301
211,140,311;312
334,142,336;335
144,351,352;353;354;355
145,356,
146,357,358;359;360;361;362
150,363,369;368;371;370;364;365;366;367
372,151,373;375;374;377;376
154,385,614;615;612;613
155,391,395;394;393;392;399;398;397;396
400,156,402;403;401;406;404;405
157,407,746;735;736;742
409,158,387;386;390;389;388
410,159,411;414;415;412;413;417;416;418
425,160,427;426;429;428;431;430;432
433,162,440;434;435;436;437;438;439
447,164,454;453;452;451;450;449;448
455,165,462;461;460;459;458;457;456
463,166,470;468;469;466;467;464;465
168,471,476;477;474;475;472;473
171,478,
479,172,481;480;483;482
484,184,
485,185,
486,186,
499,27,
190,500,
191,501,504;505;506;502;503
507,192,508
509,193,
194,510,516;511;512;513;514;515
197,517,518;519
520,198,
199,521,
522,200,
523,201,
202,524,
525,205,
206,526,
207,527,
528,212,
529,213,
225,530,533;532;535;534;531;536
537,226,540;539
227,538,
229,541,
233,542,543
544,234,546;547;545
548,235,550;551;549
242,552,553
554,243,
555,244,
556,246,
247,557,
248,558,
559,249,
560,250,
251,561,564;563;562
258,568,572;571;570;569
573,259,
574,260,
268,575,576
0,271,578;579
286,581,
582,314,583;584;585;586;587
589,315,592;590;591
593,319,
320,594,595;596
597,321,599;598;600
604,335,
337,605,608;607
606,338,609
364,610,611
616,379,618;619;617
620,383,624;622;623
0,621,620
625,384,627;626
632,392,635;634;633;638;637;636
639,393,641;640;642
643,394,645;644
646,54,648;647
53,54,653;652;655;654;649;651;650
656,434,660;661;657;658;659
662,435,668;669;670;664;665;666;667;663
671,437,675;674;673;672
438,676,680;679;678;677
55,56,52
55,57,53
441,681,682
443,683,686;685;684
687,444,692;690;691;689
688,444,694;693
445,695,
446,696,
448,697,
450,698,
699,466,
480,700,
701,483,
488,702,703
489,705,707;706
708,491,
709,502,713;712;715;714;717;716;718;711;710
504,719,
720,505,
721,508,722;723
724,511,728;729;725;726;727
512,730,731;732;733
0,514,734
649,737,
657,738,
739,658,
0,442,740
741,742,745;744;743
0,0,747;751;750;749;748
752,753,754;755
754,756,
757,755,
758,759,
761,760,763;764;765
762,760,766;770;767;771;768;769
763,772,
765,773,774;775;780;778;779;776;777
781,769,784;782;783
782,785,
783,786,
784,787,791;790;789;788;795;794;793;792
796,788,
797,789,
798,790,
799,791,
792,800,
793,801,
