ID,Father,Mother
1,PS3,PS8
2,PS3,PS84
3,PS101,PS659
4,PS24,PS90
5,PS24,PS421
6,PS24,NC600
7,PS100,Not sampled #1
8,PS100,Not sampled #2
9,PS13,PS20
10,PS13,PS421
11,PS13,PS646
12,PS50,PS85
13,PS50,PS85
14,PS50,PS90
15,PS50,BI404
16,PS50,Not sampled #1
17,PS50,Not sampled #1
18,PS50,Not sampled #2
19,PS16,PS19
20,PS16,PS72
21,PS16,Not sampled
22,PS108,Not sampled
23,PS52,PS102
24,PS26,PS21
25,PS26,Not sampled
26,PS25,PS300
27,PS25,Not sampled
28,PS75,PS84
29,BI407,PS84
30,BI407,PS91
